GOL,JOGO,JOGADOR,ASSISTENCIA,MINUTO,TEMPO,SETOR,AREA,ESTILO,CAMISA,NUM CAMISA,TIT/RES,RES,PLACAR,ADVERSÁRIO,CAMPEONATO,DATA,DIA-SEMANA,HORA,LINK
1,2,Jadson,Fagner,25,1T,Norte,FA,Pé Esquerdo,1,10,TITULAR,E,1 x 1,Botafogo,Brasileiro,01/06/2014,DOM,16:00,https://www.youtube.com/watch?v=uBZTPBOsYh4
2,3,Guerrero,Jadson,7,1T,Sul,DA,Pé Esquerdo,1,9,TITULAR,V,2 x 1,Internacional,Brasileiro,17/07/2014,QUI,19:30,https://www.youtube.com/watch?v=ueyaq-24FY8
3,3,Fagner,Luciano,10,1T,Sul,DA,Pé Direito,1,35,TITULAR,V,2 x 1,Internacional,Brasileiro,17/07/2014,QUI,19:30,https://www.youtube.com/watch?v=ueyaq-24FY8
4,4,Elias,Petros,18,1T,Sul,DA,Pé Direito,1,7,TITULAR,V,3 x 0,Bahia,Copa do Brasil,23/07/2014,QUA,22:00,https://www.youtube.com/watch?v=_qxlaXJ6Z64
5,4,Romero,Ralf,32,1T,Sul,DA,Cabeça,1,11,TITULAR,V,3 x 0,Bahia,Copa do Brasil,23/07/2014,QUA,22:00,https://www.youtube.com/watch?v=_qxlaXJ6Z64
6,4,Renato Augusto,(Pênalti),90,2T,Norte,DA,Pé Direito,1,8,RESERVA,V,3 x 0,Bahia,Copa do Brasil,23/07/2014,QUA,22:00,https://www.youtube.com/watch?v=_qxlaXJ6Z64
7,5,Guerrero,Elias,51,2T,Norte,DA,Pé Direito,1,9,TITULAR,V,2 x 0,Palmeiras,Brasileiro,27/07/2014,DOM,16:00,https://www.youtube.com/watch?v=v8YNki5duZQ
8,5,Petros,Elias,90+1,2T,Norte,DA,Pé Direito,1,40,TITULAR,V,2 x 0,Palmeiras,Brasileiro,27/07/2014,DOM,16:00,https://www.youtube.com/watch?v=v8YNki5duZQ
9,6,Gil,Guerrero,43,1T,Sul,DA,Cabeça,1,4,TITULAR,E,1 x 1,Bahia,Brasileiro,16/08/2014,SÁB,21:00,https://www.youtube.com/watch?v=sJUSPUOvvTc
10,7,Guerrero,Jadson,22,1T,Sul,DA,Cabeça,1,9,TITULAR,V,5 x 2,Goiás,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
11,7,Elias,X,65,2T,Norte,DA,Pé Direito,1,7,TITULAR,V,5 x 2,Goiás,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
12,7,Luciano,Lodeiro,78,2T,Norte,DA,Cabeça,1,18,RESERVA,V,5 x 2,Goiás,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
13,7,Luciano,Jadson,85,2T,Norte,FA,Pé Esquerdo,1,18,RESERVA,V,5 x 2,Goiás,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
14,7,Luciano,X,89,2T,Norte,DA,Pé Esquerdo,1,18,RESERVA,V,5 x 2,Goiás,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
15,8,Romarinho,Renato Augusto,74,2T,Norte,DA,Pé Esquerdo,1,31,TITULAR,E,1 x 1,Fluminense,Brasileiro,31/08/2014,DOM,16:00,https://www.youtube.com/watch?v=DfukbGx49Mw
16,9,Renato Augusto,Romarinho,4,1T,Sul,DA,Pé Direito,1,8,TITULAR,V,3 x 1,Bragantino,Copa do Brasil,03/09/2014,QUA,22:00,https://www.youtube.com/watch?v=bPw_kThZkdc
17,9,Ralf,Renato Augusto,15,1T,Sul,DA,Cabeça,1,5,TITULAR,V,3 x 1,Bragantino,Copa do Brasil,03/09/2014,QUA,22:00,https://www.youtube.com/watch?v=bPw_kThZkdc
18,9,Felipe,Renato Augusto,20,1T,Sul,DA,Cabeça,1,28,TITULAR,V,3 x 1,Bragantino,Copa do Brasil,03/09/2014,QUA,22:00,https://www.youtube.com/watch?v=bPw_kThZkdc
19,10,Petros,Romero,14,1T,Sul,DA,Pé Direito,2,40,TITULAR,V,1 x 0,Atlético (MG),Brasileiro,11/09/2014,QUI,19:30,https://www.youtube.com/watch?v=uxrYvS9Ibvw
20,11,Malcom,Jadson,10,1T,Sul,DA,Pé Esquerdo,1,21,TITULAR,E,1 x 1,Chapecoense,Brasileiro,18/09/2014,QUI,19:30,https://www.youtube.com/watch?v=Nn_-ZtdTytw
21,12,Fábio Santos,(Pênalti),36,1T,Sul,DA,Pé Esquerdo,1,6,TITULAR,V,3 x 2,São Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys
22,12,Fábio Santos,(Pênalti),66,2T,Norte,DA,Pé Esquerdo,1,6,TITULAR,V,3 x 2,São Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys
23,12,Guerrero,Danilo,74,2T,Norte,DA,Pé Direito,1,9,TITULAR,V,3 x 2,São Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys
24,13,Guerrero,Renato Augusto,25,1T,Norte,DA,Cabeça,2,9,TITULAR,V,2 x 0,Atlético (MG),Copa do Brasil,01/10/2014,QUA,22:00,https://www.youtube.com/watch?v=yidoIxdOUP8
25,13,Luciano,Guerrero,82,2T,Sul,DA,Pé Esquerdo,2,18,RESERVA,V,2 x 0,Atlético (MG),Copa do Brasil,01/10/2014,QUA,22:00,https://www.youtube.com/watch?v=yidoIxdOUP8
26,14,Anderson Martins,Renato Augusto,25,1T,Norte,DA,Cabeça,1,23,TITULAR,V,3 x 0,Sport,Brasileiro,04/10/2014,SÁB,18:30,https://www.youtube.com/watch?v=ccOj_BtxFws
27,14,Guerrero,Luciano,73,2T,Sul,DA,Pé Esquerdo,1,9,TITULAR,V,3 x 0,Sport,Brasileiro,04/10/2014,SÁB,18:30,https://www.youtube.com/watch?v=ccOj_BtxFws
28,14,Luciano,Danilo,90+3,2T,Sul,FA,Pé Esquerdo,1,18,RESERVA,V,3 x 0,Sport,Brasileiro,04/10/2014,SÁB,18:30,https://www.youtube.com/watch?v=ccOj_BtxFws
29,15,Elias,Romero,46,2T,Norte,DA,Joelho D,1,7,TITULAR,E,2 x 2,Coritiba,Brasileiro,01/11/2014,SÁB,21:30,https://www.youtube.com/watch?v=c9AQcDBNe5k
30,15,Bruno Henrique,Uendel,90+5,2T,Norte,DA,Cabeça,1,25,TITULAR,E,2 x 2,Coritiba,Brasileiro,01/11/2014,SÁB,21:30,https://www.youtube.com/watch?v=c9AQcDBNe5k
31,16,Guerrero,Renato Augusto,7,1T,Sul,DA,Pé Esquerdo,2,9,TITULAR,V,1 x 0,Santos,Brasileiro,09/11/2014,DOM,19:30,https://www.youtube.com/watch?v=i0l9UbNqJaM
32,17,Guerrero,Luciano,83,2T,Sul,DA,Pé Esquerdo,1,9,TITULAR,V,1 x 0,Grêmio,Brasileiro,23/11/2014,DOM,19:30,https://www.youtube.com/watch?v=i0l9UbNqJaM
33,18,Elias,Petros,26,1T,Sul,DA,Pé Direito,1,7,TITULAR,V,2 x 1,Criciúma,Brasileiro,06/12/2014,SÁB,16:30,https://www.youtube.com/watch?v=h-qRoog_Mio
34,18,Fábio Santos,Renato Augusto,72,2T,Norte,DA,Pé Esquerdo,1,6,TITULAR,V,2 x 1,Criciúma,Brasileiro,06/12/2014,SÁB,16:30,https://www.youtube.com/watch?v=h-qRoog_Mio
35,19,Danilo,Luciano,79,2T,Sul,DA,Pé Esquerdo,1,20,RESERVA,V,3 x 0,Corinthian-Casuals,Amistoso,24/01/2015,SÁB,17:00,https://www.youtube.com/watch?v=hS1c3ibs9Yo
36,19,Luciano,Mendoza,90,2T,Sul,DA,Pé Direito,1,18,RESERVA,V,3 x 0,Corinthian-Casuals,Amistoso,24/01/2015,SÁB,17:00,https://www.youtube.com/watch?v=hS1c3ibs9Yo
37,19,Luciano,Jadson,90+6,2T,Sul,DA,Pé Esquerdo,1,18,RESERVA,V,3 x 0,Corinthian-Casuals,Amistoso,24/01/2015,SÁB,17:00,https://www.youtube.com/watch?v=hS1c3ibs9Yo
38,20,Renato Augusto,Jadson,11,1T,Sul,DA,Pé Direito,1,8,TITULAR,V,3 x 0,Marília,Paulista,01/02/2015,DOM,17:00,https://www.youtube.com/watch?v=QqHTdsisOzk
39,20,Fagner,Renato Augusto,56,2T,Norte,FA,Pé Direito,1,35,TITULAR,V,3 x 0,Marília,Paulista,01/02/2015,DOM,17:00,https://www.youtube.com/watch?v=QqHTdsisOzk
40,20,Guerrero,Renato Augusto,59,2T,Norte,DA,Pé Direito,1,9,TITULAR,V,3 x 0,Marília,Paulista,01/02/2015,DOM,17:00,https://www.youtube.com/watch?v=QqHTdsisOzk
41,21,Emerson,Guerrero,1,1T,Sul,FA,Pé Direito,1,11,TITULAR,V,4 x 0,Once Caldas,Libertadores,04/02/2015,QUA,22:00,https://www.youtube.com/watch?v=OdOqdMpaXkg
